"#","Reference","Qty","Value","Footprint","DNP"
"1","C101, C103, C104, C108, C109, C113, C114, C201, C202, C301, C302, C304, C305, C402, C403, C404, C405, C406","18","100n","Capacitor_SMD:C_0805_2012Metric",""
"2","C102, C112, C115","3","4µ7","Capacitor_SMD:C_0805_2012Metric",""
"3","C106, C107","2","10µ","Capacitor_SMD:C_0805_2012Metric",""
"4","C110, C111","2","22µ","Capacitor_SMD:C_0805_2012Metric",""
"5","C303, C310, C401","3","1µ","Capacitor_SMD:C_0805_2012Metric",""
"6","C306, C307, C308, C309","4","1n","Capacitor_SMD:C_0805_2012Metric",""
"7","D201, D202, D203, D204, D205, D206, D207, D208, D209, D212, D213, D214, D215, D216, D217, D218","16","LED","LED_SMD:LED_0805_2012Metric",""
"8","D210, D211, D219, D220, D221, D222, D223, D224, D225, D226, D227, D228, D229, D230","14","LL4148","Diode_SMD:D_MiniMELF",""
"9","FB101, FB301","2","FerriteBead","eigene:SMB-001",""
"10","H101, H102, H103, H104","4","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"11","J101","1","USB_B","Connector_USB:USB_B_Lumberg_2411_02_Horizontal",""
"12","J102","1","12V In","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"13","J201","1","Valves","Connector_PinHeader_2.54mm:PinHeader_2x12_P2.54mm_Vertical",""
"14","J202","1","Pump1","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"15","J203","1","Pump2","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"16","J204","1","Shifter","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"17","J301","1","Sig","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"18","J302","1","Temp","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"19","J303","1","Vcc","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"20","J304","1","Air_Hue","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"21","J305","1","Light","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"22","J306","1","GND","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"23","J307","1","Spill","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"24","J401","1","Micro_SD_Card_Det_Hirose_DM3AT","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5",""
"25","J403, J404","2","I2C","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"26","J405, J406","2","SPI","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"27","JP101","1","Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm",""
"28","JP301, JP302, JP303, JP304","4","Jumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm",""
"29","L101","1","5µ6H","Inductor_SMD:L_Vishay_IHLP-4040",""
"30","Q201, Q202, Q203, Q204, Q205, Q206, Q207, Q208, Q209, Q210, Q211, Q212, Q213, Q214","14","BSS306","Package_TO_SOT_SMD:SOT-23-3",""
"31","Q401, Q402, Q403, Q404, Q405, Q406","6","BSS138","Package_TO_SOT_SMD:SOT-23",""
"32","R101, R106, R401, R402","4","4k7","Resistor_SMD:R_0805_2012Metric",""
"33","R102, R103","2","22","Resistor_SMD:R_0805_2012Metric",""
"34","R104, R201, R202, R203, R204, R205, R206, R209, R210, R211, R214, R215, R216, R217, R218, R219, R220, R403, R404, R405, R406, R407, R408, R409, R410, R411, R412, R413","28","1k","Resistor_SMD:R_0805_2012Metric",""
"35","R107","1","180k","Resistor_SMD:R_0805_2012Metric",""
"36","R108","1","39k","Resistor_SMD:R_0805_2012Metric",""
"37","R109","1","30","Resistor_SMD:R_0805_2012Metric",""
"38","R110","1","52k3","Resistor_SMD:R_0805_2012Metric",""
"39","R111, R207, R208, R221, R222, R223, R224, R225, R226, R233, R234, R235, R236, R237, R238","15","10k","Resistor_SMD:R_0805_2012Metric",""
"40","R212, R213, R227, R228, R229, R230, R231, R232, R239, R240, R241, R242, R243, R244","14","100k","Resistor_SMD:R_0805_2012Metric",""
"41","R301, R302, R303, R304","4","R","Resistor_SMD:R_0805_2012Metric",""
"42","R305, R306, R307, R308","4","100","Resistor_SMD:R_0805_2012Metric",""
"43","SW101, SW102","2","SW_SPST","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",""
"44","U101","1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6",""
"45","U102","1","ESP32-S3-WROOM-1","PCM_Espressif:ESP32-S3-WROOM-1",""
"46","U104","1","TPS56339DDC","Package_TO_SOT_SMD:SOT-23-6",""
"47","U105","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"48","U201, U202","2","74HC595","Package_SO:SOIC-16_4.55x10.3mm_P1.27mm",""
"49","U301, U302","2","MCP3208","Package_SO:SOIC-16_4.55x10.3mm_P1.27mm",""
